"date.value","campaign.id","adProduct.value","metric.totalCost","budgetCurrency.value"
"2026-01-04","396524009311704","Sponsored Brands","3.61","CAD"
"2026-01-29","383706936707329","Sponsored Brands","0.00","USD"
"2026-01-08","439663157752722","Sponsored Brands","0.19","USD"
"2026-01-09","559365035833525","Sponsored Brands","0.00","AUD"
"2026-01-15","480355060288556","Sponsored Products","0.00","AUD"
"2026-01-11","300894362771504","Sponsored Products","0.60","GBP"
"2026-01-06","407346576799567","Sponsored Products","0.00","AUD"
"2026-01-16","317772463042332","Sponsored Products","4.03","AUD"
"2026-01-17","349690804752896","Sponsored Products","82.82","USD"
"2026-01-24","488078103319545","Sponsored Brands","0.00","USD"
"2026-01-30","277250351840071","Sponsored Products","1.51","USD"
"2026-01-03","304676183651349","Sponsored Products","0.00","USD"
"2026-01-11","492312442577894","Sponsored Products","4.21","USD"
"2026-01-01","494590942145867","Sponsored Products","17.71","CAD"
"2026-01-10","531194039320877","Sponsored Products","0.00","CAD"
"2026-01-28","322178684810700","Sponsored Products","0.00","USD"
"2026-01-21","513927767815024","Sponsored Products","0.94","USD"
"2026-01-23","451323086678396","Sponsored Products","4.28","USD"
"2026-01-12","348184859637636","Sponsored Brands","0.00","USD"
"2026-01-12","375412452273685","Sponsored Products","6.87","GBP"
"2026-01-10","464658704178346","Sponsored Brands","9.01","USD"
"2026-01-05","381948820461821","Sponsored Brands","0.00","USD"
"2026-01-29","414778030564989","Sponsored Products","0.00","GBP"
"2026-01-29","149942312994880","Sponsored Products","0.47","USD"
"2026-01-17","405261002610411","Sponsored Products","0.00","GBP"
"2026-01-26","380662946968621","Sponsored Display","13.34","USD"
"2026-01-23","527711743915708","Sponsored Products","45.45","USD"
"2026-01-23","540593023678755","Sponsored Products","0.00","USD"
"2026-01-08","408719546145761","Sponsored Products","2.39","USD"
"2026-01-25","522533017982048","Sponsored Products","0.00","CAD"
"2026-01-24","303344079444236","Sponsored Brands","0.66","GBP"
"2026-01-28","487313850471925","Sponsored Brands","0.00","USD"
"2026-01-04","511509048867805","Sponsored Products","89.29","USD"
"2026-01-28","557802220335065","Sponsored Products","0.00","CAD"
"2026-01-28","454992450655768","Sponsored Products","4.95","USD"
"2026-01-11","399703016940832","Sponsored Brands","0.00","CAD"
"2026-01-25","494590942145867","Sponsored Products","30.11","CAD"
"2026-01-09","375451164709840","Sponsored Products","0.46","GBP"
"2026-01-22","332000738328227","Sponsored Products","12.35","USD"
"2026-01-29","405261002610411","Sponsored Products","0.00","GBP"
"2026-01-28","113013759920940","Sponsored Products","0.00","USD"
"2026-01-06","486701736662809","Sponsored Products","0.55","AUD"
"2026-01-06","316207062053537","Sponsored Products","0.00","AUD"
"2026-01-13","495677195822245","Sponsored Brands","0.00","USD"
"2026-01-22","417555316939613","Sponsored Brands","0.00","AUD"
"2026-01-25","557802220335065","Sponsored Products","0.46","CAD"
"2026-01-17","440997775738977","Sponsored Products","0.00","AUD"
"2026-01-19","545146961820010","Sponsored Products","2.99","GBP"
"2026-01-03","338934805167255","Sponsored Products","0.00","USD"
"2026-01-11","383356525876468","Sponsored Products","0.90","USD"
"2026-01-11","301972852761247","Sponsored Products","0.00","USD"
"2026-01-29","558297049226516","Sponsored Brands","0.00","CAD"
"2026-01-15","483182403867537","Sponsored Products","3.94","USD"
"2026-01-08","291680855614624","Sponsored Brands","2.47","GBP"
"2026-01-09","297335215332435","Sponsored Products","3.54","CAD"
"2026-01-30","342468627864471","Sponsored Products","0.54","GBP"
"2026-01-08","428201110992726","Sponsored Products","9.80","USD"
"2026-01-27","495677195822245","Sponsored Brands","0.20","USD"
"2026-01-18","554517553013265","Sponsored Products","0.00","CAD"
"2026-01-24","394083050171294","Sponsored Products","0.75","USD"
"2026-01-22","541042710567147","Sponsored Products","0.00","USD"
"2026-01-20","381948820461821","Sponsored Brands","0.00","USD"
"2026-01-15","454992450655768","Sponsored Products","0.00","USD"
"2026-01-19","502907079288115","Sponsored Products","1.68","CAD"
"2026-01-22","495242868805173","Sponsored Products","0.00","GBP"
"2026-01-10","288851430690246","Sponsored Products","0.00","GBP"
"2026-01-14","394083050171294","Sponsored Products","9.22","USD"
"2026-01-09","476877916686317","Sponsored Brands","6.06","AUD"
"2026-01-17","292138679780956","Sponsored Products","0.00","AUD"
"2026-01-11","464658704178346","Sponsored Brands","14.60","USD"
"2026-01-26","291618943691121","Sponsored Brands","0.00","AUD"
"2026-01-07","491792683377286","Sponsored Products","4.99","USD"
"2026-01-27","366303362151528","Sponsored Products","0.00","USD"
"2026-01-01","515637010546761","Sponsored Brands","4.98","USD"
"2026-01-13","455510939824845","Sponsored Products","0.00","USD"
"2026-01-09","380439551325000","Sponsored Products","1.98","GBP"
"2026-01-27","562763694980171","Sponsored Products","0.00","GBP"
"2026-01-01","366993568403124","Sponsored Products","9.71","USD"
"2026-01-10","338934805167255","Sponsored Products","0.00","USD"
"2026-01-31","168803396873792","Sponsored Products","0.00","USD"
"2026-01-12","514416545593290","Sponsored Products","1.01","USD"
"2026-01-02","517050919084211","Sponsored Products","0.00","CAD"
"2026-01-23","336347500415431","Sponsored Products","0.00","USD"
"2026-01-04","325883174926875","Sponsored Brands","1.46","USD"
"2026-01-21","432013629308606","Sponsored Brands","2.73","CAD"
"2026-01-03","280884599605823","Sponsored Products","9.94","USD"
"2026-01-11","539931100075119","Sponsored Brands","3.83","USD"
"2026-01-31","321516368269611","Sponsored Products","0.38","CAD"
"2026-01-07","493519110544788","Sponsored Products","4.98","USD"
"2026-01-25","555625239663839","Sponsored Products","58.78","USD"
"2026-01-14","291618943691121","Sponsored Brands","0.00","AUD"
"2026-01-24","494590942145867","Sponsored Products","32.90","CAD"
"2026-01-19","450215291242396","Sponsored Products","0.00","USD"
"2026-01-05","557738489078024","Sponsored Products","0.00","CAD"
"2026-01-03","443805539282973","Sponsored Brands","0.00","CAD"
"2026-01-28","450116297068538","Sponsored Products","0.00","USD"
"2026-01-04","429080278331990","Sponsored Products","0.00","USD"
"2026-01-25","562873832621330","Sponsored Products","0.20","GBP"
"2026-01-08","342468627864471","Sponsored Products","0.31","GBP"
"2026-01-07","392972027720670","Sponsored Products","1.47","CAD"
"2026-01-23","292138679780956","Sponsored Products","0.00","AUD"
"2026-01-22","494590942145867","Sponsored Products","29.40","CAD"
"2026-01-11","455100983218716","Sponsored Brands","2.21","USD"
"2026-01-18","422803050752749","Sponsored Products","0.41","USD"
"2026-01-14","455622109943339","Sponsored Products","0.00","AUD"
"2026-01-29","398859393836995","Sponsored Products","0.56","GBP"
"2026-01-02","309978526979947","Sponsored Products","0.00","USD"
"2026-01-13","313102197760283","Sponsored Products","7.05","USD"
"2026-01-23","378095244761436","Sponsored Products","2.62","USD"
"2026-01-16","371021037712738","Sponsored Products","45.21","USD"
"2026-01-14","189738652799913","Sponsored Brands","0.68","CAD"
"2026-01-14","317772463042332","Sponsored Products","0.00","AUD"
"2026-01-31","1861066386589","Sponsored Products","0.82","USD"
"2026-01-25","327160636077377","Sponsored Products","1.58","USD"
"2026-01-30","428914757065848","Sponsored Products","7.23","CAD"
"2026-01-22","396006036421092","Sponsored Products","2.08","USD"
"2026-01-23","539750977499191","Sponsored Products","0.82","CAD"
"2026-01-29","384137786867273","Sponsored Products","0.00","USD"
"2026-01-17","263910374759225","Sponsored Products","1.06","CAD"
"2026-01-07","455510939824845","Sponsored Products","0.59","USD"
"2026-01-09","441925918527435","Sponsored Brands","5.26","USD"
"2026-01-30","344717374719347","Sponsored Display","0.00","CAD"
"2026-01-22","345786769504667","Sponsored Products","0.00","USD"
"2026-01-29","513927767815024","Sponsored Products","0.00","USD"
"2026-01-09","288669281122601","Sponsored Products","0.57","AUD"
"2026-01-30","545146961820010","Sponsored Products","3.28","GBP"
"2026-01-04","480355060288556","Sponsored Products","0.00","AUD"
"2026-01-30","303784488331012","Sponsored Display","18.77","AUD"
"2026-01-18","399703016940832","Sponsored Brands","1.70","CAD"
"2026-01-01","553947994872935","Sponsored Products","0.00","AUD"
"2026-01-12","411293040066733","Sponsored Products","2.84","GBP"
"2026-01-13","529845821022802","Sponsored Products","0.00","AUD"
"2026-01-22","441925918527435","Sponsored Brands","1.33","USD"
"2026-01-31","215966552761313","Sponsored Products","0.00","USD"
"2026-01-15","518653489850740","Sponsored Brands","0.00","USD"
"2026-01-04","467986598930085","Sponsored Products","14.89","USD"
"2026-01-02","386893543852916","Sponsored Products","1.79","CAD"
"2026-01-13","455193289976402","Sponsored Products","0.00","USD"
"2026-01-29","101459965063202","Sponsored Products","12.71","USD"
"2026-01-23","556616987602606","Sponsored Products","4.74","USD"
"2026-01-05","455622109943339","Sponsored Products","0.00","AUD"
"2026-01-11","439118795538688","Sponsored Brands","0.00","CAD"
"2026-01-23","498311429491057","Sponsored Display","0.06","CAD"
"2026-01-20","532503737498489","Sponsored Products","0.00","USD"
"2026-01-04","451323086678396","Sponsored Products","0.00","USD"
"2026-01-04","360412290312296","Sponsored Brands","4.83","CAD"
"2026-01-10","409429087898453","Sponsored Display","0.60","CAD"
"2026-01-08","375412452273685","Sponsored Products","2.86","GBP"
"2026-01-30","407530123839349","Sponsored Products","0.00","AUD"
"2026-01-30","498311429491057","Sponsored Display","0.00","CAD"
"2026-01-04","517050919084211","Sponsored Products","0.00","CAD"
"2026-01-22","424413890381694","Sponsored Products","1.52","USD"
"2026-01-03","490007501473330","Sponsored Products","2.82","USD"
"2026-01-10","316207062053537","Sponsored Products","0.00","AUD"
"2026-01-31","548511206574211","Sponsored Brands","0.00","AUD"
"2026-01-28","452082306058129","Sponsored Brands","4.00","CAD"
"2026-01-13","526818914182448","Sponsored Products","0.00","GBP"
"2026-01-13","545989665090053","Sponsored Brands","0.87","GBP"
"2026-01-11","392537273853228","Sponsored Brands","0.00","AUD"
"2026-01-27","557814926181675","Sponsored Products","1.41","CAD"
"2026-01-30","434170639918769","Sponsored Brands","2.04","USD"
"2026-01-02","506556070299851","Sponsored Products","0.00","USD"
"2026-01-09","558297049226516","Sponsored Brands","0.00","CAD"
"2026-01-06","371021037712738","Sponsored Products","43.55","USD"
"2026-01-09","317772463042332","Sponsored Products","0.21","AUD"
"2026-01-30","417555316939613","Sponsored Brands","0.00","AUD"
"2026-01-18","286308132559342","Sponsored Brands","0.00","AUD"
"2026-01-16","542616313773815","Sponsored Brands","0.86","USD"
"2026-01-16","446701085946014","Sponsored Products","0.00","GBP"
"2026-01-16","513927767815024","Sponsored Products","0.83","USD"
"2026-01-09","486830706800832","Sponsored Products","0.00","CAD"
"2026-01-20","382536260418493","Sponsored Brands","1.85","USD"
"2026-01-23","292726552706968","Sponsored Products","3.87","USD"
"2026-01-10","300894362771504","Sponsored Products","0.00","GBP"
"2026-01-13","446701085946014","Sponsored Products","0.00","GBP"
"2026-01-03","378771240092800","Sponsored Products","0.00","AUD"
"2026-01-01","399703016940832","Sponsored Brands","0.00","CAD"
"2026-01-29","381243195375500","Sponsored Products","0.00","USD"
"2026-01-02","531187508971652","Sponsored Display","0.00","CAD"
"2026-01-21","542395622943712","Sponsored Products","0.50","GBP"
"2026-01-17","327999245273994","Sponsored Brands","2.59","USD"
"2026-01-04","407444835513369","Sponsored Brands","3.17","CAD"
"2026-01-14","386865813070708","Sponsored Products","6.11","USD"
"2026-01-18","305150240202410","Sponsored Brands","3.36","USD"
"2026-01-06","497204182729156","Sponsored Brands","0.44","USD"
"2026-01-13","378771240092800","Sponsored Products","0.00","AUD"
"2026-01-05","378858058113466","Sponsored Products","1.45","CAD"
"2026-01-15","427514193060341","Sponsored Products","0.00","USD"
"2026-01-15","420797773596938","Sponsored Products","0.00","USD"
"2026-01-16","504962652065858","Sponsored Brands","0.00","AUD"
"2026-01-22","303344079444236","Sponsored Brands","1.47","GBP"
"2026-01-04","482195104755571","Sponsored Brands","4.75","GBP"
"2026-01-18","504962652065858","Sponsored Brands","0.31","AUD"
"2026-01-23","392699328377229","Sponsored Products","0.00","AUD"
"2026-01-08","316018693107855","Sponsored Products","6.66","USD"
"2026-01-19","527711743915708","Sponsored Products","40.24","USD"
"2026-01-08","359104344566153","Sponsored Products","0.00","USD"
"2026-01-31","481343337793629","Sponsored Products","0.00","GBP"
"2026-01-27","486969120687335","Sponsored Products","13.43","USD"
"2026-01-19","300894362771504","Sponsored Products","0.00","GBP"
"2026-01-14","263910374759225","Sponsored Products","11.49","CAD"
"2026-01-23","560541401556849","Sponsored Products","0.00","GBP"
"2026-01-20","263910374759225","Sponsored Products","3.81","CAD"
"2026-01-09","411197191773342","Sponsored Products","0.00","AUD"
"2026-01-21","451323086678396","Sponsored Products","1.98","USD"
"2026-01-04","432013629308606","Sponsored Brands","0.62","CAD"
"2026-01-04","324740828073799","Sponsored Products","0.41","AUD"
"2026-01-30","371604599978031","Sponsored Products","0.00","AUD"
