marketplace_id,budget_currency,rows,total_cost
A1F83G8C2ARO7P,GBP,3032,8182.92
A2EUQ1WTGCTBG2,CAD,5190,8493.08
A39IBJ37TRP1C6,AUD,3010,3562.57
ATVPDKIKX0DER,USD,34431,118950.56

marketplace_id,year_month,bucket,amount,currency
A1F83G8C2ARO7P,2025-12,chargesObject,932.5400,GBP
A1F83G8C2ARO7P,2025-12,cog,67.8900,USD
A1F83G8C2ARO7P,2025-12,expenses,-0.9400,GBP
A1F83G8C2ARO7P,2025-12,fbaObject,-46.0300,GBP
A1F83G8C2ARO7P,2025-12,feesObject,-142.6400,GBP
A1F83G8C2ARO7P,2025-12,passthrough,-125.6000,GBP
A1F83G8C2ARO7P,2026-01,chargesObject,13510.2300,GBP
A1F83G8C2ARO7P,2026-01,cog,3388.3800,USD
A1F83G8C2ARO7P,2026-01,expenses,647.5800,GBP
A1F83G8C2ARO7P,2026-01,fbaObject,-745.5700,GBP
A1F83G8C2ARO7P,2026-01,feesObject,-2184.2000,GBP
A1F83G8C2ARO7P,2026-01,passthrough,5150.8500,GBP
A1F83G8C2ARO7P,2026-01,refundsObject,-1347.2600,GBP
A1F83G8C2ARO7P,2026-01,storageFee,-178.8200,GBP
A1F83G8C2ARO7P,2026-02,chargesObject,15498.6700,GBP
A1F83G8C2ARO7P,2026-02,cog,4037.2300,USD
A1F83G8C2ARO7P,2026-02,expenses,1159.0800,GBP
A1F83G8C2ARO7P,2026-02,fbaObject,-712.8700,GBP
A1F83G8C2ARO7P,2026-02,feesObject,-2439.0100,GBP
A1F83G8C2ARO7P,2026-02,passthrough,-36.1200,GBP
A1F83G8C2ARO7P,2026-02,refundsObject,-1157.9100,GBP
A1F83G8C2ARO7P,2026-02,storageFee,-146.7300,GBP
A1F83G8C2ARO7P,2026-03,chargesObject,13611.6600,GBP
A1F83G8C2ARO7P,2026-03,cog,3329.8500,USD
A1F83G8C2ARO7P,2026-03,expenses,383.9300,GBP
A1F83G8C2ARO7P,2026-03,fbaObject,-628.3800,GBP
A1F83G8C2ARO7P,2026-03,feesObject,-2177.6000,GBP
A1F83G8C2ARO7P,2026-03,passthrough,4185.1300,GBP
A1F83G8C2ARO7P,2026-03,refundsObject,-1848.8900,GBP
A1F83G8C2ARO7P,2026-03,storageFee,-148.0800,GBP
A1F83G8C2ARO7P,2026-04,chargesObject,12003.0000,GBP
A1F83G8C2ARO7P,2026-04,cog,3479.5400,USD
A1F83G8C2ARO7P,2026-04,expenses,1634.6900,GBP
A1F83G8C2ARO7P,2026-04,fbaObject,-451.4800,GBP
A1F83G8C2ARO7P,2026-04,feesObject,-1879.3200,GBP
A1F83G8C2ARO7P,2026-04,passthrough,7069.0500,GBP
A1F83G8C2ARO7P,2026-04,refundsObject,-776.7700,GBP
A1F83G8C2ARO7P,2026-04,storageFee,-105.7800,GBP
A1F83G8C2ARO7P,2026-05,chargesObject,6438.3700,GBP
A1F83G8C2ARO7P,2026-05,cog,1767.6200,USD
A1F83G8C2ARO7P,2026-05,expenses,-10.0300,GBP
A1F83G8C2ARO7P,2026-05,fbaObject,-259.7500,GBP
A1F83G8C2ARO7P,2026-05,feesObject,-1012.4200,GBP
A1F83G8C2ARO7P,2026-05,passthrough,2585.4600,GBP
A1F83G8C2ARO7P,2026-05,refundsObject,-604.6300,GBP
A1F83G8C2ARO7P,2026-05,storageFee,-77.6000,GBP
A1F83G8C2ARO7P,2026-06,chargesObject,8195.6700,GBP
A1F83G8C2ARO7P,2026-06,cog,2365.0500,USD
A1F83G8C2ARO7P,2026-06,expenses,-184.1200,GBP
A1F83G8C2ARO7P,2026-06,fbaObject,-312.2900,GBP
A1F83G8C2ARO7P,2026-06,feesObject,-1284.5400,GBP
A1F83G8C2ARO7P,2026-06,passthrough,960.2900,GBP
A1F83G8C2ARO7P,2026-06,refundsObject,-662.6300,GBP
A1F83G8C2ARO7P,2026-06,storageFee,-59.6800,GBP
A2EUQ1WTGCTBG2,2025-12,chargesObject,467.2600,CAD
A2EUQ1WTGCTBG2,2025-12,cog,148.9100,USD
A2EUQ1WTGCTBG2,2025-12,fbaObject,-74.1000,CAD
A2EUQ1WTGCTBG2,2025-12,feesObject,-75.1800,CAD
A2EUQ1WTGCTBG2,2026-01,chargesObject,10505.4700,CAD
A2EUQ1WTGCTBG2,2026-01,cog,1925.0700,USD
A2EUQ1WTGCTBG2,2026-01,expenses,192.0800,CAD
A2EUQ1WTGCTBG2,2026-01,fbaObject,-1351.3200,CAD
A2EUQ1WTGCTBG2,2026-01,feesObject,-1493.6700,CAD
A2EUQ1WTGCTBG2,2026-01,passthrough,116.9500,CAD
A2EUQ1WTGCTBG2,2026-01,refundsObject,-423.4800,CAD
A2EUQ1WTGCTBG2,2026-01,storageFee,-31.1700,CAD
A2EUQ1WTGCTBG2,2026-02,chargesObject,9628.4000,CAD
A2EUQ1WTGCTBG2,2026-02,cog,2225.8500,USD
A2EUQ1WTGCTBG2,2026-02,expenses,53.7500,CAD
A2EUQ1WTGCTBG2,2026-02,fbaObject,-861.5800,CAD
A2EUQ1WTGCTBG2,2026-02,feesObject,-1306.6100,CAD
A2EUQ1WTGCTBG2,2026-02,passthrough,2820.2600,CAD
A2EUQ1WTGCTBG2,2026-02,refundsObject,-288.0500,CAD
A2EUQ1WTGCTBG2,2026-02,storageFee,-171.1500,CAD
A2EUQ1WTGCTBG2,2026-03,chargesObject,9899.0300,CAD
A2EUQ1WTGCTBG2,2026-03,cog,2054.6600,USD
A2EUQ1WTGCTBG2,2026-03,expenses,354.3600,CAD
A2EUQ1WTGCTBG2,2026-03,fbaObject,-846.2600,CAD
A2EUQ1WTGCTBG2,2026-03,feesObject,-1359.2100,CAD
A2EUQ1WTGCTBG2,2026-03,passthrough,-311.0700,CAD
A2EUQ1WTGCTBG2,2026-03,refundsObject,-1010.3600,CAD
A2EUQ1WTGCTBG2,2026-03,storageFee,-278.1400,CAD
A2EUQ1WTGCTBG2,2026-04,chargesObject,5205.9300,CAD
A2EUQ1WTGCTBG2,2026-04,cog,911.8000,USD
A2EUQ1WTGCTBG2,2026-04,expenses,148.7300,CAD
A2EUQ1WTGCTBG2,2026-04,fbaObject,-512.7700,CAD
A2EUQ1WTGCTBG2,2026-04,feesObject,-714.5300,CAD
A2EUQ1WTGCTBG2,2026-04,passthrough,1905.3200,CAD
A2EUQ1WTGCTBG2,2026-04,refundsObject,-1092.0300,CAD
A2EUQ1WTGCTBG2,2026-04,storageFee,-568.9000,CAD
A2EUQ1WTGCTBG2,2026-05,chargesObject,6809.5700,CAD
A2EUQ1WTGCTBG2,2026-05,cog,1318.8300,USD
A2EUQ1WTGCTBG2,2026-05,expenses,599.3100,CAD
A2EUQ1WTGCTBG2,2026-05,fbaObject,-661.4800,CAD
A2EUQ1WTGCTBG2,2026-05,feesObject,-939.9600,CAD
A2EUQ1WTGCTBG2,2026-05,passthrough,1772.7800,CAD
A2EUQ1WTGCTBG2,2026-05,refundsObject,-589.8200,CAD
A2EUQ1WTGCTBG2,2026-05,storageFee,-540.5900,CAD
A2EUQ1WTGCTBG2,2026-06,chargesObject,7263.1800,CAD
A2EUQ1WTGCTBG2,2026-06,cog,2164.6400,USD
A2EUQ1WTGCTBG2,2026-06,expenses,387.1900,CAD
A2EUQ1WTGCTBG2,2026-06,fbaObject,-602.9400,CAD
A2EUQ1WTGCTBG2,2026-06,feesObject,-969.8900,CAD
A2EUQ1WTGCTBG2,2026-06,passthrough,962.9500,CAD
A2EUQ1WTGCTBG2,2026-06,refundsObject,-584.5300,CAD
A2EUQ1WTGCTBG2,2026-06,storageFee,-486.2600,CAD
ATVPDKIKX0DER,2025-12,chargesObject,10530.9400,USD
ATVPDKIKX0DER,2025-12,cog,640.1800,USD
ATVPDKIKX0DER,2025-12,fbaObject,-993.0000,USD
ATVPDKIKX0DER,2025-12,feesObject,-1546.5000,USD
ATVPDKIKX0DER,2025-12,passthrough,-444.5200,USD
ATVPDKIKX0DER,2026-01,chargesObject,174304.8200,USD
ATVPDKIKX0DER,2026-01,cog,43949.3700,USD
ATVPDKIKX0DER,2026-01,expenses,-10288.4900,USD
ATVPDKIKX0DER,2026-01,fbaObject,-16497.2500,USD
ATVPDKIKX0DER,2026-01,feesObject,-24838.7300,USD
ATVPDKIKX0DER,2026-01,passthrough,59758.3200,USD
ATVPDKIKX0DER,2026-01,refundsObject,-9644.4000,USD
ATVPDKIKX0DER,2026-01,storageFee,-3474.4600,USD
ATVPDKIKX0DER,2026-02,chargesObject,145146.5300,USD
ATVPDKIKX0DER,2026-02,cog,33733.3200,USD
ATVPDKIKX0DER,2026-02,expenses,6068.7800,USD
ATVPDKIKX0DER,2026-02,fbaObject,-13277.4600,USD
ATVPDKIKX0DER,2026-02,feesObject,-21032.5600,USD
ATVPDKIKX0DER,2026-02,passthrough,51446.4800,USD
ATVPDKIKX0DER,2026-02,refundsObject,-8745.4000,USD
ATVPDKIKX0DER,2026-02,storageFee,-1202.5700,USD
ATVPDKIKX0DER,2026-03,chargesObject,129169.3600,USD
ATVPDKIKX0DER,2026-03,cog,28959.5900,USD
ATVPDKIKX0DER,2026-03,expenses,-2096.1000,USD
ATVPDKIKX0DER,2026-03,fbaObject,-10940.7900,USD
ATVPDKIKX0DER,2026-03,feesObject,-18585.3300,USD
ATVPDKIKX0DER,2026-03,passthrough,11801.6700,USD
ATVPDKIKX0DER,2026-03,refundsObject,-7795.6500,USD
ATVPDKIKX0DER,2026-03,storageFee,-1177.9500,USD
ATVPDKIKX0DER,2026-04,chargesObject,124533.7800,USD
ATVPDKIKX0DER,2026-04,cog,30607.8300,USD
ATVPDKIKX0DER,2026-04,expenses,-6120.8100,USD
ATVPDKIKX0DER,2026-04,fbaObject,-11246.7000,USD
ATVPDKIKX0DER,2026-04,feesObject,-18007.5600,USD
ATVPDKIKX0DER,2026-04,passthrough,36368.3200,USD
ATVPDKIKX0DER,2026-04,refundsObject,-3984.7500,USD
ATVPDKIKX0DER,2026-04,storageFee,-770.8300,USD
ATVPDKIKX0DER,2026-05,chargesObject,115088.3400,USD
ATVPDKIKX0DER,2026-05,cog,26687.3300,USD
ATVPDKIKX0DER,2026-05,expenses,-3623.8000,USD
ATVPDKIKX0DER,2026-05,fbaObject,-10478.3300,USD
ATVPDKIKX0DER,2026-05,feesObject,-16772.3500,USD
ATVPDKIKX0DER,2026-05,passthrough,38810.3100,USD
ATVPDKIKX0DER,2026-05,refundsObject,-5384.4800,USD
ATVPDKIKX0DER,2026-05,storageFee,-631.7600,USD
ATVPDKIKX0DER,2026-06,chargesObject,102946.6700,USD
ATVPDKIKX0DER,2026-06,cog,25084.7000,USD
ATVPDKIKX0DER,2026-06,expenses,-4454.0600,USD
ATVPDKIKX0DER,2026-06,fbaObject,-9521.0900,USD
ATVPDKIKX0DER,2026-06,feesObject,-14892.0500,USD
ATVPDKIKX0DER,2026-06,passthrough,21832.9300,USD
ATVPDKIKX0DER,2026-06,refundsObject,-3821.9700,USD
ATVPDKIKX0DER,2026-06,storageFee,-404.0400,USD
ATVPDKIKX0DER,2026-07,chargesObject,6841.4200,USD
ATVPDKIKX0DER,2026-07,cog,1622.5500,USD
ATVPDKIKX0DER,2026-07,expenses,293.3700,USD
ATVPDKIKX0DER,2026-07,fbaObject,-607.2800,USD
ATVPDKIKX0DER,2026-07,feesObject,-972.9900,USD
ATVPDKIKX0DER,2026-07,passthrough,21498.9800,USD
ATVPDKIKX0DER,2026-07,refundsObject,-239.1200,USD
